Temperature,Preheat,Heating,Cooling,Reached,
,53,No,No,No,No
,53,No,No,No,No
,53,No,No,No,No
,52,No,No,No,No
,53,No,No,No,No
,53,No,No,No,No
,53,No,No,No,No
,53,No,No,No,No
,52,No,No,No,No
,52,No,No,No,No
,52,No,No,No,No
,52,No,No,No,No
,52,No,No,No,No
,52,No,No,No,No
,52,No,No,No,No
,52,No,No,No,No
,52,No,No,No,No
,52,No,No,No,No
,52,No,No,No,No
,52,No,No,No,No
,52,No,No,No,No
,52,No,No,No,No
,52,No,No,No,No
,52,No,No,No,No
,51,No,No,No,No
,51,No,No,No,No
,50,No,No,No,No
,51,No,No,No,No
,51,No,No,No,No
,51,No,No,No,No
,51,No,No,No,No
,51,No,No,No,No
,51,No,No,No,No
,51,No,No,No,No
,51,No,No,No,No
,51,No,No,No,No
,51,No,No,No,No
,51,No,No,No,No
,51,No,No,No,No
,51,No,No,No,No
,50,No,No,No,No
,50,No,No,No,No
,50,No,No,No,No
,50,No,No,No,No
,50,No,No,No,No
,49,No,No,No,No
,49,No,No,No,No
,50,No,No,No,No
,50,No,No,No,No
,50,No,No,No,No
,50,No,No,No,No
,50,No,No,No,No
,49,No,No,No,No
,49,No,No,No,No
,49,No,No,No,No
,49,No,No,No,No
,49,No,No,No,No
,48,No,No,No,No
,48,No,No,No,No
,48,No,No,No,No
,49,No,No,No,No
,49,No,No,No,No
,49,No,No,No,No
,49,No,No,No,No
,49,No,No,No,No
,49,No,No,No,No
,48,No,No,No,No
,48,No,No,No,No
,48,No,No,No,No
,48,No,No,No,No
,48,No,No,No,No
,48,No,No,No,No
,48,No,No,No,No
,48,No,No,No,No
,48,No,No,No,No
,48,No,No,No,No
,48,No,No,No,No
,48,No,No,No,No
,48,No,No,No,No
,48,No,No,No,No
,48,No,No,No,No
,48,No,No,No,No
,48,No,No,No,No
,47,No,No,No,No
,47,No,No,No,No
,47,No,No,No,No
,47,No,No,No,No
,47,No,No,No,No
,47,No,No,No,No
,47,No,No,No,No
,47,No,No,No,No
,47,No,No,No,No
,47,No,No,No,No
,47,No,No,No,No
,47,No,No,No,No
,47,No,No,No,No
,47,No,No,No,No
,46,No,No,No,No
,46,No,No,No,No
,46,No,No,No,No
,46,No,No,No,No
,46,No,No,No,No
,46,No,No,No,No
